@relation temporalexpression

@attribute phrase string
@attribute hasDay {0,1}
@attribute hasMonth {0,1}
@attribute hasNumString {0,1}
@attribute hasRefExpr1 {0,1}
@attribute hasRefExpr2 {0,1}
@attribute hasTimeRef {0,1}
@attribute hasDatePattern {0,1}
@attribute hasTimePattern {0,1}
@attribute hasTemporalModifier {0,1}
@attribute hasMeasurementUnit {0,1}
@attribute class {NONE,DURATION,DATE,TIME,RDT,RT}

@data
'Patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'one relapse', 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, NONE
'XXX XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX am', 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, TIME
'his PCP', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Dr. Foutchner', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, NONE
'Monday', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, RDT
'This', 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, NONE
'XXXX-XX-XX XX :', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, DATE
'you', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX-XXX', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, NONE
'your patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'FYFEUARDFEL', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'TADE', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the Emergency Department', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'this prosthesis', 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, NONE
'morning of her surgery', 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, RDT
'Ph University', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Medical Center', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX/XX/XXXX XX:XX PM', 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, DATE
'This', 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, NONE
'you', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
